,,Nodecasos,confirmados,,,
Region ,Poblacion ,Acumulados ,Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa letalidad 
Arica y Parinacota ,252110 ,327 ,6 ,129.7 ,2.4 ,1.8 
Tarapaca ,382773 ,459 ,1 ,119.9 ,0.3 ,0.2 
Antofagasta ,691854 ,923 ,9 ,133.4 ,1.3 ,1.0 
Atacama ,314709 ,88 ,O ,28.0 ,0.0 ,0.0 
Coquimbo ,836096 ,111 ,O ,13.3 ,0.0 ,0.0 
Valparaiso ,1960170 ,828 ,18 ,42.2 ,0.9 ,2.2 
Metropolitana ,8125072 ,17979 ,157 ,221.3 ,1.9 ,0.9 
O'Higgins ,991063 ,167 ,3 ,16.9 ,0.3 ,1.8 
Maule ,1131939 ,425 ,13 ,37.5 ,1.1 ,3.1 
Nuble ,511551 ,794 ,18 ,155.2 ,3.5 ,2.3 
Biobio ,1663696 ,842 ,8 ,50.6 ,0.5 ,1.0 
Araucania ,1014343 ,1403 ,36 ,138.3 ,3.5 ,2.6 
Los Rios ,405835 ,203 ,4 ,50.0 ,1.0 ,2.0 
Los Lagos ,891440 ,548 ,10 ,61.5 ,1.1 ,1.8 
Aisen ,107297 ,8 ,O ,7.5 ,0.0 ,0.0 
Magallanes ,178362 ,867 ,11 ,486.1 ,6.2 ,1.3 
Total pais ,19458310 ,25972 ,294 ,133.5 ,1.5 ,1.1 
