Comuna,SESESE,SESESE,SESE,SESE,SESE,SE,SE,SE,SE,SESE,SE,SE,SE,SESE,SE
,9 10 11 ,12 13 14 ,15 16 ,17 18 ,19 20 ,21 ,22 ,23 ,24 ,25 26 ,27 ,28 ,29 ,30 31 ,32 
Andacollo ,O O O ,O O O ,O O ,O 2 ,7 3 ,3 ,7 ,6 ,O ,5 7 ,4 ,3 ,3 ,1 2 ,O 
Canela ,O O O ,0 O O ,O O ,O 1 ,O 2 ,O ,2 ,2 ,O ,1 6 ,5 ,O ,4 ,2 1 ,O 
Combarbala ,O O O ,O O O ,O O ,O 2 ,3 4 ,3 ,5 ,3 ,2 ,7 O ,1 ,3 ,O ,O 2 ,O 
Coquimbo ,& O O 4 ,13 3 1 ,1 6 ,7 21 ,85 86 ,71 ,151 ,144 ,157 ,181 239 ,235 ,338 ,359 ,328 125 ,O 
Illapel ,& O 0 O ,0 4 7 ,7 O ,O 1 ,O 1 ,5 ,21 ,14 ,18 ,20 41 ,42 ,63 ,9 ,17 19 ,0 
La Higuera ,O O O ,O O O ,O O ,O O ,O O ,O ,1 ,2 ,O ,O O ,6 ,9 ,27 ,9 10 ,O 
La Serena ,& O 1 O ,3 7 4 ,3 3 ,5 16 ,51 50 ,76 ,114 ,115 ,136 ,197 185 ,227 ,268 ,271 ,317 131 ,O 
Los Vilos ,O O O ,1 O O ,O O ,O O ,1 O ,3 ,5 ,6 ,7 ,12 26 ,11 ,12 ,17 ,19 4 ,O 
Monte & Patria ,O O O ,O O O ,O O ,O 1 ,6 19 ,25 ,27 ,24 ,45 ,22 30 ,24 ,14 ,13 ,11 7 ,O 
Ovalle & ,O O 4 ,2 4 2 ,O 5 ,1 15 ,32 49 ,58 ,114 ,171 ,180 ,151 136 ,90 ,82 ,55 ,77 21 ,O 
Paiguano ,O O O ,O O O ,O O ,O O ,O O ,2 ,2 ,1 ,2 ,O O ,O ,2 ,O ,2 O ,O 
Punitaqui ,O 0 O ,O O O ,O 1 ,1 3 ,6 O ,4 ,16 ,2 ,7 ,5 7 ,4 ,13 ,15 ,5 1 ,O 
Rio Hurtado ,O O O ,1 O O ,O O ,O 1 ,O 1 ,2 ,5 ,6 ,1 ,O O ,5 ,1 ,3 ,3 O ,O 
Salamanca ,O 1 O ,1 2 1 ,2 1 ,O 3 ,2 2 ,5 ,15 ,14 ,3 ,6 4 ,7 ,11 ,17 ,33 6 ,O 
Vicuna ,O 0 O ,O O O ,1 O ,1 3 ,5 3 ,5 ,4 ,7 ,2 ,1 8 ,11 ,33 ,33 ,11 2 ,O 
Desconocido & ,O O 0 ,1 O 3 ,1 1 ,1 O ,1 3 ,10 ,8 ,9 ,17 ,11 17 ,10 ,18 ,13 ,1 12 ,O 
