Comuna,No,Poblacion,Tasa
Cauquenes ,- ,44143 ,2.3 
Chanco ,- ,9331 ,0.0 
Colbun ,- ,22565 ,4.4 
Constitucion ,- ,50348 ,0.0 
Curepto ,- ,9426 ,0.0 
Curico ,6 ,163626 ,3.7 
Empedrado ,- ,4206 ,0.0 
Hualane ,- ,10222 ,0.0 
Licanten ,- ,6989 ,0.0 
Linares ,4 ,101073 ,4.0 
Longavi ,- ,32810 ,3.0 
Maule ,- ,60000 ,3.3 
Molina ,- ,49800 ,4.0 
Parral ,4 ,44544 ,9.0 
Pelarco ,- ,9083 ,0.0 
Pelluhue ,- ,8092 ,12.4 
Pencahue ,- ,8601 ,0.0 
Rauco ,- ,11248 ,0.0 
Retiro ,- ,21071 ,0.0 
Rio Claro ,- ,14753 ,6.8 
Romeral ,- ,16170 ,6.2 
Sagrada Familia ,- ,19469 ,0.0 
San Clemente ,- ,46292 ,0.0 
San Javier ,- ,49451 ,0.0 
San Rafael ,- ,9959 ,0.0 
Talca ,34 ,236724 ,14.4 
Teno ,- ,30850 ,0.0 
Vichuquen ,- ,4381 ,0.0 
Villa Alegre ,- ,17512 ,0.0 
Yerbas Buenas ,- ,19200 ,0.0 
Total ,58 ,1131939 ,5.1 
