Hualpen,&0O3,23,33,2717,8,2,611,9,1731,26,74,88,107,72,84,73,75,68,105,135,88O
Hualqui ,& O 0 1 ,1 ,2 ,4 5 ,9 ,O ,1 2 ,5 ,12 7 ,13 ,17 ,38 ,30 ,16 ,15 ,26 ,13 ,26 ,56 ,33 ,31 O 
Laja ,0 1 1 ,0 ,3 ,1 1 ,1 ,5 ,1 17 ,20 ,8 7 ,6 ,10 ,15 ,20 ,18 ,17 ,14 ,15 ,6 ,5 ,7 ,1 O 
Lebu ,& 0 O O ,O ,O ,O O ,O ,O ,1 1 ,O ,O 6 ,6 ,6 ,8 ,3 ,O ,2 ,7 ,4 ,1 ,8 ,8 ,9 O 
Los Alamos ,O O O ,0 ,O ,O 1 ,,O ,1 O ,1 ,O 3 ,4 ,4 ,38 ,28 ,14 ,11 ,16 ,15 ,6 ,22 ,16 ,5 O 
Los Angeles ,& O O 3 ,6 ,9 ,6 5 ,4 ,O ,4 33 ,64 ,89 78 ,87 ,90 ,136 ,164 ,115 ,96 ,104 ,81 ,67 ,41 ,55 ,55 O 
Lota ,& 0 0 O ,1 ,O ,1 0 ,0 ,O ,1 16 ,10 ,15 21 ,23 ,44 ,67 ,63 ,56 ,37 ,32 ,38 ,51 ,36 ,45 ,31 O 
Mulchen ,O O O ,1 ,4 ,O O ,O ,O ,2 3 ,1 ,1 11 ,3 ,3 ,12 ,27 ,26 ,26 ,8 ,2 ,6 ,10 ,15 ,25 O 
Nacimiento ,O O O ,2 ,3 ,3 2 ,O ,1 ,3 8 ,4 ,8 7 ,6 ,20 ,30 ,28 ,17 ,15 ,5 ,4 ,4 ,8 ,7 ,19 O 
Negrete ,O 0 O ,O ,O ,2 O ,0 ,O ,O 7 ,12 ,10 9 ,12 ,21 ,15 ,17 ,6 ,12 ,4 ,5 ,4 ,8 ,12 ,14 O 
Penco ,0 0 O ,1 ,4 ,3 3 ,9 ,O ,3 2 ,2 ,10 14 ,44 ,74 ,49 ,52 ,46 ,39 ,58 ,78 ,60 ,118 ,95 ,71 O 
Quilaco ,O O O ,O ,O ,O O ,O ,O ,O O ,O ,O 2 ,3 ,1 ,1 ,5 ,O ,1 ,3 ,3 ,4 ,4 ,O ,1 O 
Quilleco ,O O O ,O ,O ,O O ,O ,O ,O O ,O ,1 2 ,2 ,2 ,1 ,8 ,12 ,10 ,6 ,6 ,12 ,10 ,8 ,2 O 
San Pedro de la Paz ,& 0 O 6 ,35 ,17 ,23 8 ,11 ,4 ,3 14 ,14 ,40 62 ,70 ,98 ,114 ,80 ,97 ,74 ,80 ,89 ,89 ,100 ,98 ,78 O 
San Rosendo ,O O O ,O ,O ,O O ,O ,O ,O 1 ,1 ,O 2 ,2 ,O ,8 ,8 ,6 ,5 ,1 ,1 ,O ,1 ,O ,O O 
Santa Barbara ,0 0 O ,0 ,2 ,1 O ,O ,0 ,O 4 ,9 ,7 19 ,7 ,8 ,23 ,9 ,14 ,14 ,8 ,20 ,9 ,9 ,14 ,7 O 
Santa Juana ,& 0 O O ,O ,O ,1 O ,O ,1 ,O O ,O ,O 3 ,17 ,23 ,15 ,7 ,2 ,5 ,12 ,2 ,3 ,8 ,4 ,5 O 
Talcahuano ,& 0 O 1 ,17 ,16 ,20 14 ,14 ,21 ,17 18 ,18 ,43 71 ,55 ,112 ,150 ,127 ,112 ,133 ,188 ,183 ,141 ,186 ,183 ,135 O 
Tirua ,& O O O ,1 ,2 ,1 O ,O ,0 ,O O ,O ,O 1 ,4 ,5 ,9 ,7 ,O ,O ,O ,1 ,3 ,6 ,2 ,O O 
Tome ,& 0 O 0 ,9 ,13 ,13 7 ,9 ,1 ,4 16 ,6 ,8 15 ,53 ,63 ,63 ,33 ,13 ,15 ,27 ,64 ,66 ,110 ,100 ,73 O 
Tucapel ,& O O 0 ,O ,O ,1 O ,O ,O ,O 1 ,4 ,6 11 ,21 ,14 ,28 ,34 ,14 ,7 ,7 ,4 ,5 ,7 ,3 ,5 O 
Yumbel ,O O O ,O ,5 ,O 1 ,1 ,1 ,2 4 ,3 ,5 12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 ,7 ,10 ,20 ,2 ,5 O 
Desconocido ,& 0 O O ,1 ,O ,O O ,O ,O ,O 2 ,4 ,6 6 ,9 ,6 ,27 ,35 ,7 ,11 ,11 ,10 ,12 ,7 ,7 ,25 O 
Total ,1 2 29 ,141 ,164 ,157 103 ,101 ,70 ,88 215 ,259 ,516 752 ,841 ,1272 ,1667 ,1444 ,1136 ,1074 ,1157 ,1181 ,1087 ,1471 ,1472 ,1152 0 
