Comuna,SE,SESE,SE,SESE,SESE,SESE,SESE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE
,9 ,10 11 ,12 ,13 14 ,15 16 ,17 18 ,19 20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 
Bulnes ,& O ,O O ,9 ,27 10 ,7 8 ,8 9 ,25 44 ,26 ,19 ,19 ,16 19 ,14 ,30 ,36 ,20 ,34 ,35 ,43 ,0 
Chillan ,& O ,1 28 ,120 ,117 75 ,33 25 ,17 16 ,21 68 ,59 ,68 ,114 ,126 174 ,141 ,176 ,178 ,105 ,74 ,78 ,67 ,0 
Chillan Viejo ,& O ,O 5 ,7 ,19 7 ,14 3 ,1 1 ,4 15 ,22 ,12 ,27 ,21 26 ,21 ,26 ,29 ,22 ,5 ,9 ,9 ,O 
Cobquecura ,O ,O O ,O ,O O ,O O ,O O ,O O ,O ,O ,O ,O O ,O ,O ,1 ,O ,1 ,O ,2 ,O 
Coelemu ,O ,O O ,O ,2 2 ,O O ,O O ,O 2 ,6 ,10 ,8 ,9 18 ,4 ,1 ,9 ,1 ,5 ,3 ,5 ,O 
Coihueco ,O ,O O ,2 ,3 4 ,6 12 ,12 3 ,1 8 ,1 ,1 ,5 ,12 18 ,11 ,31 ,41 ,23 ,12 ,10 ,7 ,O 
EI Carmen ,& 0 ,0 O ,2 ,O 1 ,O O ,0 O ,1 3 ,8 ,15 ,4 ,15 11 ,7 ,7 ,16 ,2 ,5 ,6 ,0 ,O 
Ninhue ,O ,0 O ,O ,O 2 ,O 2 ,O O ,O 1 ,3 ,2 ,2 ,7 7 ,11 ,4 ,2 ,1 ,5 ,2 ,1 ,O 
Niquen ,O ,O O ,1 ,O 1 ,2 O ,O 1 ,O 5 ,3 ,11 ,17 ,18 5 ,5 ,1 ,4 ,8 ,6 ,3 ,4 ,O 
Pemuco ,O ,O O ,1 ,O 4 ,1 O ,O O ,3 1 ,2 ,5 ,5 ,20 33 ,4 ,9 ,11 ,3 ,1 ,1 ,1 ,O 
Pinto ,O ,O O ,2 ,3 5 ,1 1 ,O O ,O 3 ,O ,2 ,1 ,4 8 ,9 ,4 ,16 ,5 ,3 ,2 ,2 ,O 
Portezuelo ,O ,O O ,O ,O O ,O O ,O O ,1 4 ,2 ,O ,O ,O 4 ,O ,1 ,5 ,4 ,O ,O ,1 ,O 
Quillon ,& O ,O O ,8 ,8 8 ,1 O ,2 2 ,2 9 ,6 ,13 ,25 ,20 15 ,7 ,15 ,30 ,3 ,8 ,3 ,5 ,O 
Quirihue ,& 0 ,0 O ,O ,1 2 ,O 1 ,O 1 ,7 4 ,1 ,5 ,1 ,1 9 ,10 ,5 ,13 ,1 ,8 ,3 ,7 ,0 
Ranquil ,O ,0 O ,1 ,3 6 ,O O ,O O ,1 O ,O ,O ,1 ,4 6 ,2 ,O ,6 ,6 ,5 ,O ,6 ,O 
San Carlos ,O ,O 2 ,5 ,11 9 ,3 3 ,3 3 ,7 7 ,13 ,29 ,61 ,91 56 ,46 ,60 ,40 ,30 ,16 ,5 ,13 ,O 
San Fabian ,O ,O O ,3 ,3 1 ,O 1 ,O O ,O ,O 1 ,O ,O ,O O ,O ,O ,3 ,1 ,1 ,1 ,O ,O 
San Ignacio ,& O ,O O ,2 ,3 1 ,O 1 ,3 3 ,1 2 ,6 ,8 ,9 ,52 32 ,6 ,6 ,14 ,18 ,5 ,4 ,1 ,O 
San Nicolas ,O ,O O ,2 ,6 5 ,4 O ,O O ,2 3 ,9 ,8 ,10 ,5 3 ,10 ,15 ,22 ,7 ,6 ,12 ,5 ,O 
Treguaco ,O ,O O ,O ,O O ,O O ,O O ,O 1 ,O ,O ,1 ,O 1 ,1 ,O ,1 ,1 ,2 ,O ,6 ,O 
Yungay ,O ,O O ,3 ,16 21 ,3 4 ,6 2 ,2 2 ,O ,6 ,2 ,5 11 ,14 ,4 ,13 ,6 ,15 ,2 ,7 ,O 
Desconocido ,& O ,O O ,O ,O O ,O O ,O O ,O O ,O ,O ,O ,O O ,O ,O ,1 ,O ,O ,O ,O ,O 
,,,,,,,,,,,,,,,,,,,
