,SESESESE,SE,SESE,SE,SESE,SE,SESE,SESE,SE,SESESESE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 18 ,19 ,20 21 ,22 23 ,24 ,25 26 27 28 ,29 ,30 31 ,32 
Angol & ,O 1 1 3 ,10 ,11 15 ,35 ,27 11 ,11 ,7 24 ,19 57 ,59 ,42 30 40 29 ,25 ,29 9 ,O 
Carahue ,O O O O ,3 ,10 9 ,8 ,5 1 ,O ,2 14 ,11 5 ,5 ,5 2 2 5 ,3 ,9 6 ,O 
Cholchol ,O O O 1 ,2 ,O O ,1 ,O O ,1 ,O 1 ,12 5 ,1 ,O O 6 4 ,2 ,2 1 ,O 
Collipulli ,O O O O ,O ,1 1 ,1 ,3 O ,2 ,9 9 ,6 7 ,9 ,6 10 3 O ,1 ,2 6 ,O 
Cunco & ,O 0 O O ,3 ,2 O ,1 ,O O ,1 ,5 18 ,O 11 ,8 ,3 5 4 12 ,8 ,5 1 ,O 
Curacautin & ,O O O 2 ,O ,2 O ,O ,2 O ,1 ,O O ,2 4 ,9 ,O 1 1 4 ,2 ,4 O ,O 
Curarrehue ,O O 1 1 ,2 ,O O ,O ,O O ,O ,O O ,O O ,O ,O O O O ,O ,O O ,O 
Ercilla ,O O O O ,O ,4 O ,5 ,1 1 ,O ,O 4 ,1 2 ,2 ,O O 2 8 ,5 ,20 O ,O 
Freire & ,0 O O 2 ,4 ,O O ,2 ,O 1 ,11 ,11 28 ,16 18 ,6 ,9 2 1 4 ,3 ,5 O ,O 
Galvarino ,O O O O ,O ,2 O ,O ,O 1 ,O ,O 6 ,43 41 ,13 ,6 10 11 O ,O ,O 2 ,O 
Gorbea ,O O 1 4 ,4 ,1 O ,1 ,O 1 ,3 ,O 5 ,5 5 ,6 ,O O O 2 ,O ,1 O ,O 
Lautaro & ,1 O O 6 ,3 ,15 5 ,6 ,2 6 ,11 ,3 14 ,21 6 ,10 ,4 6 3 8 ,11 ,24 6 ,O 
Loncoche ,O O O 2 ,3 ,2 4 ,3 ,3 3 ,2 ,2 7 ,19 1 ,6 ,4 17 3 O ,1 ,1 O ,O 
Lonquimay ,O O O O ,O ,O O ,O ,2 13 ,12 ,27 12 ,2 O ,O ,3 O O O ,O ,O O ,O 
Los Sauces ,O O O O ,O ,O O ,1 ,O O ,O ,O 1 ,3 2 ,1 ,1 7 3 2 ,1 ,13 19 ,O 
Lumaco ,O 0 O O ,O ,O O ,4 ,2 1 ,O ,1 3 ,2 9 ,8 ,6 2 2 2 ,O ,O O ,O 
Melipeuco ,O O O O ,O ,O O ,O ,O O ,O ,O 5 ,2 1 ,O ,O O 1 2 ,O ,O O ,O 
Nueva Imperia ,O O O 4 ,10 ,4 13 ,5 ,4 2 ,6 ,5 2 ,3 24 ,19 ,11 9 6 0 ,4 ,1 2 ,O 
Padre Las Casas ,O O O 12 ,27 ,24 17 ,17 ,11 O ,5 ,24 16 ,13 4 ,7 ,2 3 16 4 ,14 ,8 3 ,O 
Perquenco & ,O O O 1 ,1 ,O O ,3 ,O O ,1 ,O O ,2 7 ,3 ,8 12 3 2 ,1 ,O O ,O 
Pitrufquen ,O O O 4 ,9 ,4 O ,1 ,O 3 ,1 ,6 15 ,20 10 ,1 ,8 9 5 1 ,O ,3 3 ,O 
Pucon & ,O O 1 3 ,O ,4 3 ,1 ,3 O ,3 ,2 12 ,16 9 ,3 ,4 5 1 4 ,7 ,5 2 ,O 
Puren ,O 0 O O ,2 ,O O ,2 ,O 2 ,1 ,O 1 ,1 O ,6 ,5 6 2 4 ,9 ,1 2 ,O 
Renaico ,O O O O ,O ,1 3 ,3 ,O 4 ,3 ,5 4 ,2 2 ,5 ,12 4 4 1 ,2 ,6 O ,O 
Saavedra ,O O 1 1 ,O ,1 5 ,8 ,17 13 ,18 ,11 9 ,4 5 ,3 ,O O 2 1 ,O ,O O ,O 
Temuco & ,O 3 26 156 ,174 ,129 112 ,58 ,25 27 ,49 ,43 28 ,16 20 ,30 ,29 44 56 47 ,45 ,64 42 ,O 
