,SESESESESE,SESE,SESE,SESE,SESE,SESE,SE,SESE,SE,SE,SESESE,SE,SE,SESE
Comuna ,9 10 11 12 13 ,14 15 ,16 17 ,18 19 ,20 21 ,22 23 ,24 ,25 26 ,27 ,28 ,29 30 31 ,32 ,33 ,34 35 
Andacollo ,O O O 0 O ,O O ,O O ,2 7 ,3 3 ,7 6 ,O ,5 7 ,4 ,3 ,3 2 5 ,5 ,10 ,5 O 
Canela ,O O O O O ,O O ,O O ,1 O ,2 O ,2 2 ,0 ,1 6 ,5 ,O ,4 3 2 ,11 ,18 ,5 0 
Combarbala ,O O O O O ,O O ,O O ,2 3 ,4 3 ,5 3 ,2 ,7 O ,1 ,3 ,O 1 4 ,6 ,8 ,4 O 
Coquimbo ,& O O 4 13 3 ,2 1 ,6 7 ,22 84 ,86 71 ,150 145 ,158 ,182 239 ,235 ,340 ,362 352 335 ,332 ,323 ,188 O 
Illapel ,& 0 O O O 4 ,7 7 ,1 O ,1 O ,1 5 ,21 14 ,18 ,20 41 ,43 ,63 ,9 23 49 ,19 ,27 ,15 0 
La Higuera ,& O O O O O ,O O ,O O ,O O ,O O ,1 2 ,O ,O O ,6 ,9 ,27 9 17 ,19 ,3 ,2 O 
La Serena ,& O 1 O 3 7 ,4 3 ,3 5 ,16 52 ,49 75 ,114 116 ,136 ,197 185 ,227 ,269 ,272 335 336 ,290 ,167 ,126 O 
Los Vilos ,& O O O 1 O ,O O ,O O ,O 1 ,O 3 ,5 6 ,8 ,12 26 ,11 ,12 ,17 21 19 ,25 ,26 ,12 O 
Monte Patria ,& O O O O O ,O O ,O O ,1 6 ,19 25 ,27 24 ,45 ,22 30 ,24 ,14 ,14 11 22 ,24 ,43 ,11 O 
Ovalle ,& O O 4 2 4 ,2 O ,5 1 ,14 33 ,49 59 ,114 171 ,181 ,151 136 ,91 ,81 ,55 85 114 ,181 ,199 ,123 O 
Paiguano ,& O O O O O ,O O ,O O ,O O ,O 2 ,2 1 ,2 ,O O ,O ,2 ,O 2 1 ,1 ,2 ,2 O 
Punitaqui ,O O O 0 O ,O O ,1 1 ,3 6 ,O 4 ,16 2 ,7 ,5 7 ,4 ,13 ,15 5 4 ,13 ,18 ,16 0 
Rio Hurtado ,O O O 1 O ,O O ,O O ,1 O ,1 2 ,5 6 ,1 ,O O ,5 ,1 ,3 3 2 ,5 ,4 ,O O 
Salamanca ,& O 1 O 1 2 ,1 2 ,1 O ,3 2 ,2 5 ,15 14 ,3 ,6 4 ,7 ,11 ,18 38 23 ,7 ,12 ,5 O 
Vicuna ,& O O 0 O O ,O 1 ,O 1 ,3 5 ,3 5 ,4 7 ,2 ,1 8 ,11 ,33 ,33 21 14 ,16 ,12 ,6 0 
Desconocido ,& 0 0 0 1 O ,3 1 ,1 1 ,O 1 ,3 10 ,8 9 ,17 ,11 16 ,10 ,18 ,12 1 8 ,4 ,2 ,4 0 
Total ,0 2 8 22 20 ,19 15 ,18 16 ,69 200 ,222 272 ,496 528 ,580 ,620 705 ,684 ,872 ,844 912 955 ,958 ,874 ,524 0 
