,SESESESE,SESE,SESESESESE,SE,SE,SESE,SE,SE,SE,SE,SE,SESE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 14 ,15 16 17 18 19 ,20 ,21 ,22 23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 33 ,34 
Cauquenes ,& 0 O 0 0 ,2 4 ,1 9 2 1 4 ,13 ,14 ,53 54 ,44 ,50 ,45 ,28 ,43 ,19 13 ,6 ,5 6 ,O 
Chanco ,O O O O ,1 O ,O 1 1 O 1 ,O ,1 ,O 8 ,6 ,9 ,1 ,1 ,10 ,6 2 ,1 ,3 O ,O 
Colbun ,O O O O ,3 3 ,O O O 1 4 ,9 ,13 ,15 10 ,22 ,23 ,15 ,22 ,15 ,18 23 ,9 ,30 9 ,O 
Constitucion ,0 O O O ,3 3 ,5 7 4 1 2 ,3 ,5 ,6 20 ,24 ,45 ,52 ,37 ,39 ,55 47 ,18 ,30 6 ,O 
Curepto ,0 0 0 0 ,0 2 ,2 4 0 1 1 ,2 ,0 ,1 1 ,3 ,10 ,6 ,5 ,2 ,4 4 ,5 ,18 17 ,O 
Curico ,& O 1 2 3 ,6 3 ,12 9 10 11 19 ,44 ,148 ,194 279 ,264 ,238 ,220 ,165 ,158 ,136 148 ,93 ,71 26 ,O 
Empedrado ,0 O O O ,O O ,O O O O O ,O ,O ,0 2 ,6 ,14 ,4 ,1 ,2 ,1 1 ,1 ,1 O ,O 
Hualane ,0 O 0 0 ,0 O ,0 1 O O 0 ,3 ,15 ,29 29 ,20 ,11 ,4 ,1 ,0 ,2 0 ,O ,0 1 ,0 
Licanten ,0 0 0 O ,0 1 ,0 1 O 0 0 ,O ,O ,2 5 ,4 ,5 ,1 ,0 ,3 ,0 1 ,2 ,1 O ,O 
Linares ,& 1 O O 2 ,5 5 ,4 6 3 4 13 ,17 ,18 ,30 42 ,82 ,92 ,78 ,84 ,84 ,64 73 ,72 ,67 39 ,O 
Longavi ,& 0 O 0 1 ,O 1 ,1 1 O 2 5 ,12 ,11 ,23 29 ,53 ,33 ,26 ,28 ,25 ,6 12 ,12 ,27 12 ,0 
Maule ,& 0 O 0 1 ,1 2 ,6 12 3 O 3 ,14 ,13 ,28 31 ,36 ,48 ,37 ,53 ,46 ,60 50 ,25 ,46 30 ,0 
Molina ,0 O 0 1 ,2 0 ,1 3 0 O 2 ,4 ,9 ,21 23 ,22 ,44 ,46 ,20 ,31 ,17 23 ,21 ,33 11 ,0 
Parral ,0 O O 1 ,3 2 ,2 2 O O 6 ,7 ,42 ,55 29 ,25 ,31 ,13 ,17 ,15 ,11 10 ,10 ,14 6 ,O 
