Osorno,&OO4,59104,6436,18152417,821,34,4234,27,1231,4663,7412412561O
Palena ,O O O ,O O ,O O ,O O O O ,O O ,O ,O O ,O ,O O ,O O ,O O O 1 O 
Puerto Montt ,& O 1 2 ,14 18 ,11 3 ,5 2 2 9 ,19 60 ,65 ,76 111 ,123 ,155 219 ,288 316 ,451 392 287 149 O 
Puerto Octay ,O O O ,1 O ,O O ,1 1 O 2 ,O O ,O ,O O ,1 ,3 O ,O O ,5 22 9 4 O 
Puerto Varas ,& O O 1 ,O 3 ,3 2 ,O O 2 1 ,4 7 ,8 ,22 10 ,10 ,17 8 ,13 19 ,21 57 32 10 O 
Puqueldon ,O O O ,O O ,O O ,O O O O ,O O ,O ,O O ,O ,O O ,O O ,O O O O O 
Purranque ,& O O O ,O 3 ,12 5 ,1 4 6 1 ,6 13 ,23 ,2 O ,2 ,1 5 ,O 7 ,O 15 12 15 O 
Puyehue ,O O O ,1 1 ,1 1 ,1 1 2 O ,1 O ,1 ,1 2 ,O ,O 3 ,4 2 ,2 6 6 4 O 
Queilen ,O O O ,O O ,O O ,O O O O ,O O ,O ,O O ,O ,O O ,O O ,O O O O O 
Quellon ,O O O ,O O ,O O ,O O O O ,O O ,O ,O 1 ,3 ,O 1 ,O 1 ,1 O O O O 
Quemchi ,O O O ,O O ,O O ,O O O O ,2 5 ,7 ,O O ,O ,O O ,O O ,O O O O O 
Quinchao ,O O O ,O 1 ,O O ,O O O O ,O O ,O ,O 1 ,O ,O O ,O O ,O 1 O O O 
Rio Negro ,O O O ,O 2 ,3 O ,5 7 5 4 ,5 4 ,4 ,O 2 ,1 ,2 3 ,3 1 ,2 6 7 2 O 
San Juan de la Costa ,O O O ,O 1 ,10 2 ,6 7 2 5 ,2 O ,O ,3 4 ,O ,O O ,1 O ,5 7 3 2 O 
San Pablo ,O O O ,O 2 ,4 O ,3 O O O ,2 1 ,O ,O O ,O ,O 2 ,1 1 ,1 4 2 5 O 
Desconocido ,& O O 9 ,10 3 ,1 O ,1 3 O 1 ,1 2 ,3 ,1 1 ,3 ,3 4 ,12 4 ,2 3 O 5 O 
Total ,0 1 16 ,91 146 ,118 60 ,45 41 64 69 ,82 137 ,155 ,160 203 ,249 ,316 411 ,472 497 ,694 800 647 345 O 
