Osorno,&OO359,104,6436,1815,2417,820,34,4134,27,1227,303O
Palena ,O O O O ,O ,O O ,O O ,O O ,O O ,O ,O O ,O ,O O ,O O O 
Puerto Montt ,& O 1 2 14 ,18 ,11 3 ,5 1 ,1 9 ,19 57 ,59 ,75 100 ,116 ,152 212 ,252 53 O 
Puerto Octay ,O O O 1 ,O ,O O ,1 1 ,O 2 ,O O ,O ,O O ,1 ,3 O ,O O O 
Puerto Varas ,O O 1 O ,2 ,3 2 ,O O ,O 1 ,4 7 ,8 ,21 10 ,10 ,16 9 ,12 3 O 
Puqueldon ,O O O O ,O ,O O ,O O ,O O ,O O ,O ,O O ,O ,O O ,O O O 
Purranque ,O O O O ,3 ,12 5 ,1 4 ,6 1 ,6 13 ,23 ,2 O ,1 ,1 5 ,O O O 
Puyehue ,O O O 1 ,1 ,1 1 ,1 1 ,2 O ,1 O ,1 ,1 2 ,O ,O 3 ,O O O 
Queilen ,O O O O ,O ,O O ,O O ,O O ,O O ,O ,O O ,O ,O O ,O O O 
Quellon ,& O O O O ,O ,O O ,O O ,O O ,O O ,O ,O 1 ,3 ,O 1 ,O 1 O 
Quemchi ,O O O O ,O ,O O ,O O ,O O ,2 5 ,7 ,O O ,O ,O O ,O O O 
Quinchao ,O O O O ,1 ,O O ,O O ,O O ,O O ,O ,O 1 ,O ,O O ,O O O 
Rio Negro ,& O O O O ,2 ,3 O ,5 7 ,5 4 ,5 4 ,4 ,O 2 ,1 ,2 3 ,2 O O 
San Juan de la Costa ,O O O O ,1 ,10 2 ,6 7 ,2 5 ,2 O ,O ,3 4 ,O ,O O ,1 O O 
San Pablo ,O O O O ,2 ,4 O ,3 O ,O O ,2 1 ,O ,O O ,O ,O 2 ,1 O O 
Desconocido ,& O O 9 10 ,3 ,1 O ,O 3 ,O 1 ,1 2 ,3 ,1 1 ,3 ,3 4 ,12 4 O 
Total ,0 1 15 91 ,145 ,118 60 ,44 40 ,61 69 ,82 133 ,148 ,156 187 ,240 ,306 401 ,400 79 0 
