Hualpen,&0O,323,33,2717,8,2,611,9,1731,26,74,88,107,72,84,73,75,67,104,76O
Hualqui ,& O O ,1 1 ,2 ,3 5 ,9 ,O ,1 2 ,5 ,12 7 ,13 ,17 ,38 ,30 ,16 ,15 ,26 ,13 ,26 ,56 ,21 O 
Laja ,O 1 ,1 O ,3 ,1 1 ,1 ,5 ,1 17 ,20 ,8 7 ,6 ,10 ,15 ,20 ,18 ,17 ,14 ,15 ,6 ,5 ,4 0 
Lebu ,0 O ,O O ,O ,O O ,O ,O ,1 1 ,O ,O 6 ,6 ,6 ,8 ,3 ,O ,2 ,7 ,4 ,1 ,11 ,5 O 
Los Alamos ,O O ,O O ,O ,O 1 ,O ,O ,1 O ,1 ,O 3 ,4 ,4 ,38 ,28 ,14 ,11 ,16 ,15 ,6 ,22 ,15 O 
Los Angeles ,& 0 O ,3 6 ,9 ,6 5 ,4 ,O ,4 32 ,64 ,89 78 ,87 ,90 ,136 ,161 ,115 ,96 ,104 ,82 ,67 ,41 ,37 O 
Lota ,O O ,O 1 ,O ,1 O ,O ,O ,1 16 ,10 ,15 21 ,23 ,44 ,67 ,63 ,56 ,37 ,32 ,38 ,49 ,35 ,33 O 
Mulchen ,O O ,O 1 ,4 ,O O ,O ,O ,2 3 ,1 ,1 11 ,3 ,3 ,12 ,27 ,26 ,26 ,8 ,2 ,6 ,10 ,12 O 
Nacimiento ,& O O ,O 2 ,3 ,3 2 ,O ,1 ,3 8 ,4 ,8 7 ,6 ,20 ,30 ,28 ,17 ,15 ,5 ,4 ,4 ,7 ,4 O 
Negrete ,0 0 ,O O ,O ,2 0 ,0 ,O ,O 7 ,12 ,10 9 ,12 ,21 ,15 ,17 ,6 ,12 ,4 ,5 ,4 ,7 ,7 0 
Penco ,& 0 O ,O 1 ,4 ,3 3 ,9 ,O ,3 2 ,2 ,10 14 ,44 ,74 ,50 ,52 ,46 ,39 ,56 ,78 ,60 ,110 ,49 O 
Quilaco ,O O ,O O ,O ,O O ,O ,O ,O O ,O ,O 2 ,3 ,1 ,1 ,5 ,O ,1 ,3 ,3 ,4 ,4 ,O O 
Quilleco ,0 O ,O O ,O ,O 0 ,O ,O ,O O ,O ,1 2 ,2 ,2 ,1 ,8 ,12 ,10 ,6 ,6 ,12 ,10 ,6 O 
San Pedro de la Paz ,& O O ,6 35 ,17 ,23 8 ,11 ,4 ,3 14 ,14 ,40 62 ,68 ,98 ,114 ,79 ,97 ,74 ,80 ,88 ,88 ,95 ,71 O 
San Rosendo ,O 0 ,O O ,O ,O O ,O ,O ,O 1 ,1 ,O 2 ,2 ,O ,8 ,8 ,6 ,5 ,1 ,1 ,0 ,1 ,O O 
Santa Barbara ,O 0 ,O O ,2 ,1 O ,0 ,0 ,O 4 ,9 ,7 19 ,7 ,8 ,23 ,9 ,14 ,14 ,7 ,20 ,9 ,8 ,7 O 
Santa Juana ,O O ,O O ,O ,1 O ,O ,1 ,O O ,O ,O 3 ,17 ,23 ,15 ,7 ,2 ,5 ,11 ,2 ,3 ,8 ,3 O 
Talcahuano ,& 0 0 ,1 16 ,16 ,20 14 ,14 ,21 ,17 18 ,18 ,43 71 ,55 ,113 ,150 ,127 ,113 ,135 ,187 ,183 ,139 ,170 ,94 O 
Tirua ,O 0 ,O 1 ,2 ,1 O ,O ,O ,O O ,O ,O 1 ,4 ,5 ,9 ,7 ,O ,O ,O ,1 ,3 ,6 ,2 O 
Tome ,& 0 O ,O 9 ,13 ,13 7 ,9 ,1 ,4 16 ,6 ,8 15 ,53 ,63 ,65 ,33 ,13 ,15 ,27 ,64 ,65 ,99 ,54 O 
Tucapel ,O O ,O O ,O ,1 O ,O ,O ,O 1 ,4 ,6 11 ,21 ,13 ,28 ,34 ,14 ,7 ,7 ,4 ,5 ,7 ,2 O 
Yumbel ,0 0 ,O O ,5 ,O 1 ,1 ,1 ,2 4 ,3 ,5 12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 ,7 ,10 ,20 ,2 0 
Desconocido ,& O O ,O 1 ,O ,O O ,O ,O ,O 2 ,4 ,6 6 ,9 ,7 ,27 ,38 ,7 ,11 ,11 ,12 ,14 ,17 ,25 O 
Total ,1 2 ,29 140 ,164 ,155 103 ,101 ,70 ,88 214 ,259 ,516 757 ,839 ,1270 ,1669 ,1442 ,1134 ,1074 ,1150 ,1180 ,1076 ,1423 ,885 0 
