,SESESE,SESE,SE,SE,SESE,SE,SESESE,SESE,SESE,SESE,SESE,SESESE
Comuna ,9 10 11 ,12 13 ,14 ,15 ,16 17 ,18 ,19 20 21 ,22 23 ,24 25 ,26 27 ,28 29 ,30 31 32 
Antartica ,O O O ,O O ,O ,O ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
Cabo de Hornos ,O O 2 ,6 4 ,1 ,6 ,O O ,O ,1 O 1 ,O O ,O O ,1 O ,O O ,O O O 
Laguna Blanca ,O O O ,O O ,O ,O ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
Natales ,O O 1 ,3 4 ,O ,1 ,1 O ,4 ,O 2 3 ,O O ,1 5 ,17 7 ,2 1 ,1 1 O 
Porvenir ,O O O ,O 3 ,1 ,2 ,2 O ,O ,1 O O ,O 1 ,O O ,O O ,O O ,O O O 
Primavera ,O O O ,O O ,O ,1 ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
Punta Arenas & ,O 2 5 ,66 121 ,147 ,156 ,133 86 ,108 ,83 53 51 ,24 36 ,122 83 ,63 45 ,76 61 ,101 78 O 
Rio Verde ,O O O ,O O ,O ,O ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
San Gregorio ,O O O ,O O ,O ,O ,O O ,O ,2 O O ,O O ,O O ,O O ,O O ,O O O 
Timaukel ,O O O ,O O ,O ,O ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
Torres del Paine ,O O O ,O O ,O ,O ,O O ,O ,O O O ,O O ,O O ,O O ,O O ,O O O 
Desconocido & ,O O O ,1 O ,1 ,42 ,14 4 ,2 ,1 O O ,O O ,1 1 ,1 1 ,O 1 ,1 O O 
Total ,O 2 8 ,76 132 ,150 ,208 ,150 90 ,114 ,88 55 55 ,24 37 ,124 89 ,82 53 ,78 63 ,103 79 0 
